Epoch,IoU,Dice,BIoU
69,0.6061708927154541,0.7401193976402283,0.5008724022636634
70,0.6066861152648926,0.7405672073364258,0.5005908322228412
71,0.5989049673080444,0.7345979809761047,0.4908849364633949
72,0.6041489243507385,0.7391461730003357,0.49841909456589284
73,0.6025984883308411,0.7375145554542542,0.49661191693546386
74,0.6045393943786621,0.7386917471885681,0.5010928953401714
75,0.6057893633842468,0.7396343946456909,0.5008437781185447
76,0.5983114242553711,0.7346135377883911,0.4870114683840419
77,0.6050642728805542,0.739256739616394,0.5020023809517631
78,0.6060969233512878,0.7398555278778076,0.5040033219855555
79,0.605330228805542,0.739499568939209,0.4992172542444729
80,0.6068748831748962,0.7402186989784241,0.504078315456262
81,0.6022849678993225,0.7373705506324768,0.5001172391462747
82,0.5949152708053589,0.7312432527542114,0.4884595338512291
83,0.5981981754302979,0.7332438826560974,0.4913289758105739
84,0.6027531027793884,0.736751139163971,0.4993689412741647
85,0.6069828867912292,0.7404683232307434,0.504666560099931
86,0.6046864986419678,0.7393456101417542,0.503769335636036
87,0.6038048267364502,0.7384474277496338,0.5011875855711158
88,0.6050994992256165,0.7393453121185303,0.5037202931782383
89,0.6053799390792847,0.7394499182701111,0.5021183365761217
90,0.6079543828964233,0.741081714630127,0.5068432826821915
91,0.5994123220443726,0.7344623804092407,0.49716164317639583
92,0.6002607345581055,0.7348747253417969,0.49716730525232405
93,0.6030514240264893,0.7370652556419373,0.502567118915504
94,0.606682538986206,0.7397647500038147,0.505846945557863
95,0.6077623963356018,0.7409769296646118,0.5086006768454078
96,0.5997839570045471,0.7349938750267029,0.494229366635788
97,0.600924015045166,0.7357046604156494,0.4997459153034758
98,0.6052644848823547,0.739109456539154,0.5062119709493347
99,0.6053327918052673,0.7387823462486267,0.504707656769064
100,0.6073341369628906,0.7405074238777161,0.5077002983856256
101,0.6022099256515503,0.7364571690559387,0.4995550804688739
102,0.598178505897522,0.7331235408782959,0.4956109122164257
103,0.6042240858078003,0.7380289435386658,0.5068102780336013
104,0.6047255992889404,0.7379859089851379,0.5041716702070241
105,0.6104742884635925,0.743035614490509,0.5125205372796579
106,0.5973581671714783,0.7324746251106262,0.4937176348787485
107,0.6010623574256897,0.7354596257209778,0.5015657807339515
108,0.6067878603935242,0.7397686243057251,0.5094869384048033
109,0.605416476726532,0.7387529015541077,0.5045781443249256
110,0.6088977456092834,0.7416807413101196,0.5106549241986655
111,0.5975556373596191,0.7325566411018372,0.494714388396722
112,0.6025333404541016,0.7361897230148315,0.5052587230111963
113,0.6044189929962158,0.7382118105888367,0.5060324383975066
114,0.6071342825889587,0.7399309277534485,0.5110767897152487
115,0.6066083312034607,0.7397791743278503,0.5083933231640753
116,0.6081216335296631,0.7410355806350708,0.5130052408471535
117,0.6051920056343079,0.7390450239181519,0.5091472337915758
118,0.6027145385742188,0.7363820672035217,0.5026855775571599
119,0.6061793565750122,0.7393248081207275,0.5092646900210813
120,0.608902633190155,0.7413622140884399,0.5130925379402518
