Epoch,IoU,Dice,BIoU
1,0.46573901176452637,0.6216877102851868,0.3217608288655285
2,0.517442524433136,0.6678502559661865,0.3832266592852897
3,0.5304208993911743,0.6797654628753662,0.3929344327674077
4,0.5404333472251892,0.6895477771759033,0.4055744012713529
5,0.5508493781089783,0.6970318555831909,0.4183690722476515
6,0.5369703769683838,0.6849916577339172,0.3994613879480951
7,0.5604418516159058,0.7052914500236511,0.4331247247366625
8,0.5671632289886475,0.710429847240448,0.4467928911893372
9,0.5642472505569458,0.7092283368110657,0.4345937554644139
10,0.5725240707397461,0.715238630771637,0.4474593288002365
11,0.5574769973754883,0.6983807682991028,0.4355584602669549
12,0.5684859752655029,0.7115128636360168,0.4450315641414654
13,0.5779430270195007,0.7201199531555176,0.4542779292757694
14,0.580559253692627,0.7218310236930847,0.45724900247405176
15,0.5830507278442383,0.7232857346534729,0.46047132165476257
16,0.5679798722267151,0.71095871925354,0.4457788015877605
17,0.5808466672897339,0.7213499546051025,0.46671091366615935
18,0.5869321823120117,0.727181077003479,0.46782167309243694
19,0.5892077088356018,0.7284811735153198,0.4711194867513412
20,0.5886468291282654,0.7278784513473511,0.4688448833075422
21,0.5730269551277161,0.7155832052230835,0.4448114880097144
22,0.5828137397766113,0.7228283286094666,0.46351165227411406
23,0.5823355913162231,0.7223644256591797,0.4574806497828374
24,0.5848679542541504,0.7242743968963623,0.4640943420783654
25,0.5951043367385864,0.7329108119010925,0.4784800985310622
26,0.5829092860221863,0.7229952812194824,0.4622159733208333
27,0.589805006980896,0.7287817597389221,0.47289509843059846
28,0.5903232097625732,0.7285668253898621,0.4711433393202208
29,0.5918301343917847,0.7297101020812988,0.4743953617737707
30,0.5967880487442017,0.7339925169944763,0.48146629957693154
31,0.5792761445045471,0.7201155424118042,0.46014399179433346
32,0.5901761651039124,0.7279685735702515,0.47663555885037384
33,0.5964782238006592,0.7336485385894775,0.4839048375145908
34,0.5955209732055664,0.7330836057662964,0.47997105187256445
35,0.596683919429779,0.733761727809906,0.48191976679599846
36,0.5925408601760864,0.7308388352394104,0.4772491926365569
37,0.5902831554412842,0.7285046577453613,0.47500035674869134
38,0.5996180176734924,0.7363204956054688,0.4869070681742137
39,0.5983746647834778,0.7346056699752808,0.48424167179833155
40,0.6034616827964783,0.7391309142112732,0.49180980259544244
41,0.5881369709968567,0.7268680334091187,0.47138460454590014
42,0.5956390500068665,0.7329245209693909,0.48231472710390527
43,0.5958903431892395,0.733151912689209,0.4823775524641076
44,0.5991614460945129,0.7352327704429626,0.4871659113795478
45,0.6034371256828308,0.738713264465332,0.49193911985756217
46,0.5886774063110352,0.727064847946167,0.47322800580014907
47,0.5919772982597351,0.7299985885620117,0.47961044761354044
48,0.5940936207771301,0.7315369248390198,0.48409307068128477
49,0.5997371673583984,0.735479474067688,0.4889745592834819
50,0.6037861704826355,0.739007294178009,0.4923619404370587
51,0.5968642234802246,0.7302811145782471,0.49046754904928314
52,0.5953502058982849,0.7316793203353882,0.48417821709255393
53,0.6013067364692688,0.7370676398277283,0.49047844890767583
54,0.605740487575531,0.7403804063796997,0.4999811296827676
55,0.6041574478149414,0.738499104976654,0.496947215352941
56,0.6018549799919128,0.7370724081993103,0.49455851756578595
57,0.5998668074607849,0.7357373833656311,0.4900412701967307
58,0.5987223982810974,0.7343632578849792,0.4882813826037082
59,0.6022967100143433,0.7371376156806946,0.4950777433251099
60,0.605193018913269,0.7396738529205322,0.4990828957216163
61,0.5952552556991577,0.7322282195091248,0.48606635905635653
62,0.5912519693374634,0.7278034687042236,0.48253677636702047
63,0.6048864126205444,0.7392397522926331,0.5001682226683152
64,0.6034474968910217,0.7382493019104004,0.497059086534304
65,0.6067720651626587,0.740912675857544,0.5015528853824257
66,0.5886746048927307,0.7273560762405396,0.4773126891214873
67,0.6011529564857483,0.7368911504745483,0.494056885565903
68,0.6081922650337219,0.7423036694526672,0.5045649875218863
